file_sx	file_sy	nameI	x	y	z	theta	tx	tz	u0	u1
156	90	820	914.465	1092.056	1095.809	0.0	156	90	0	26626
156	90	820	914.465	1092.056	1095.809	0.0	156	90	0	26626
156	90	820	914.465	1092.056	1095.809	0.0	156	90	0	26626
156	90	820	914.465	1092.056	1095.809	0.0	156	90	0	26626
156	90	820	914.465	1092.056	1095.809	0.0	156	90	0	26626
156	90	820	914.465	1092.056	1095.809	0.0	156	90	0	26626
156	90	820	914.465	1092.056	1095.809	0.0	156	90	0	26626
156	90	820	914.465	1092.056	1095.809	0.0	156	90	0	26626
156	90	820	348.773	777.532	1274.379	0.0	157	90	65535	25601
156	90	820	914.465	1092.056	1095.809	0.0	156	90	0	26626
156	90	820	914.465	1092.056	1095.809	0.0	156	90	0	26626
156	90	820	914.465	1092.056	1095.809	0.0	156	90	0	26626
156	90	574	1467.172	937.029	1449.665	-6.440266	156	90	0	36865
156	90	820	914.465	1092.056	1095.809	0.0	156	90	0	26626
156	90	574	1467.172	937.029	1449.665	-6.440266	156	90	0	36865
156	90	574	1467.172	937.029	1449.665	-6.440266	156	90	0	36865
156	90	820	348.773	777.532	1274.379	0.0	157	90	65535	25601
156	90	820	914.465	1092.056	1095.809	0.0	156	90	0	26626
156	90	820	914.465	1092.056	1095.809	0.0	156	90	0	26626
156	90	820	914.465	1092.056	1095.809	0.0	156	90	0	26626
156	90	574	1467.172	937.029	1449.665	-6.440266	156	90	0	36865
156	90	574	1467.172	937.029	1449.665	-6.440266	156	90	0	36865
156	90	820	914.465	1092.056	1095.809	0.0	156	90	0	26626
156	90	574	1467.172	937.029	1449.665	-6.440266	156	90	0	36865
156	90	820	348.773	777.532	1274.379	0.0	157	90	65535	25601
156	90	574	1467.172	937.029	1449.665	-6.440266	156	90	0	36865
156	90	820	1760.597	814.824	221.143	0.0	156	91	0	5122
156	90	574	1467.172	937.029	1449.665	-6.440266	156	90	0	36865
156	90	820	1760.597	814.824	221.143	0.0	156	91	0	5122
156	90	574	1467.172	937.029	1449.665	-6.440266	156	90	0	36865
156	90	820	348.773	777.532	1274.379	0.0	157	90	65535	25601
156	90	820	1760.597	814.824	221.143	0.0	156	91	0	5122
