# OpenSilkroadMap derived Android region catalog
# source: Data.pk2 /RegionInfo.txt (sha256 787d9b417cf3044ff9260f484656002089f7406afd57f229a3c5ac85460739ff)
# format: <type>\t<name>\t<code>\t<cell tokens: x:y or x:y:R:x0:y0:x1:y1>
# sections=72 cells=3468
TOWN	ThiefTown		182:96
FIELD	DonwhangCave	donwhang	1:128
FIELD	CTF_Cave	donwhang_event	9:128
FIELD	JanganCave456	jinsi	2:128,3:128,4:128
FIELD	JanganCave3	jinsi	5:128
FIELD	JanganCave12	jinsi	6:128,7:128
TOWN	Jangan_Fortress		69:69,69:70,70:69,70:70,71:69,71:70,72:69,72:70,73:69,73:70
FIELD	Jangan_Fortress		69:67,69:68,70:67,70:68,71:67,71:68,72:67,72:68,73:67,73:68
TOWN	Bandit_Fortress		78:67:R:520:0:1920:1920,78:68:R:520:0:1920:1920,78:69:R:520:0:1920:120,79:67,79:68,79:69:R:0:0:1920:120,80:67:R:0:0:680:1920,80:68:R:0:0:680:1920,80:69:R:0:0:680:120
FIELD	Bandit_Fortress		77:67,77:68,77:69,77:70,78:67,78:68,78:69,78:70,79:69,79:70,80:67,80:68,80:69,80:70
TOWN	Hotan_Fortress		69:64,70:64,71:64,69:63,70:63,71:63,69:62,70:62,71:62,69:61,70:61,71:61,69:60,70:60,72:60,71:60,69:59,70:59,71:59,71:58,70:58:R:0:0:400:600,69:58
FIELD	Hotan_Fortress		68:64,72:64,68:63,72:63,68:62,72:62,68:61,72:61,68:60,72:60:R:0:0:1920:1200,68:59,72:59,68:58,69:58:R:0:0:1920:1380,70:58,71:58:R:0:0:1920:1460,72:58,68:57,69:57,70:57,71:57,72:57
TOWN	Jangan		167:96:R:0:1600:1920:1600,167:97,167:98,167:99:R:0:220:1920:220,168:96:R:0:1600:1920:1600,168:97,168:98,168:99:R:0:220:1920:220,169:96:R:0:1600:1720:1600,169:97,169:98,169:99:R:0:220:1720:0
FIELD	Jangan_Field		182:89,156:90,156:91,156:92,156:93,156:94,157:90,157:91,157:92,157:93,157:94,157:95,157:96,158:89,158:90,158:91,158:92,158:93,158:94,158:95,158:96,158:97,159:89,159:90,159:91,159:92,159:93,159:94,159:95,159:96,159:97,160:90,160:91,160:92,160:93,160:94,160:95,160:96,160:97,161:90,161:91,161:92,161:93,161:94,161:95,161:96,161:97,162:90,162:91,162:92,162:93,162:94,162:95,162:96,162:97,162:98,163:90,163:91,163:92,163:93,163:94,163:95,163:96,163:97,163:98,163:99,164:90,164:91,164:92,164:93,164:94,164:95,164:96,164:97,164:98,164:99,165:91,165:92,165:93,165:94,165:95,165:96,165:97,165:98,165:99,165:100,165:101,166:91,166:92,166:93,166:94,166:95,166:96,166:97,166:98,166:99,166:100,166:101,167:91,167:92,167:93,167:94,167:95,167:96,167:99,167:100,167:101,168:91,168:92,168:93,168:94,168:95,168:96,168:99,168:100,168:101,169:91,169:92,169:93,169:94,169:95,169:96,169:97:R:1720:0:1720:1920,169:98:R:1720:0:1720:1920,169:99,169:100,169:101,170:91,170:92,170:93,170:94,170:95,170:96,170:97,170:98,170:99,170:100,171:91,171:92,171:93,171:94,171:95,171:96,171:97,171:98,171:99,171:100,171:101,172:91,172:92,172:93,172:94,172:95,172:96,172:97,172:98,172:99,172:100,172:101,172:102,173:92,173:93,173:94,173:95,173:96,173:97,173:98,173:99,173:100,173:101,174:100
TOWN	Donwhang		152:102,152:103,153:102,153:103,153:104:R:0:640:1920:640
FIELD	Donwhang_Field		143:89,143:90,143:91,143:92,143:93,143:94,143:95,143:96,143:97,143:98,143:99,143:100,144:90,144:91,144:92,144:93,144:94,144:95,144:96,144:97,144:98,144:99,144:100,145:90,145:91,145:92,145:93,145:94,145:95,145:96,145:97,145:98,145:99,145:100,146:89,146:90,146:91,146:92,146:93,146:94,146:95,146:96,146:97,146:98,146:99,146:100,147:89,147:90,147:91,147:92,147:93,147:94,147:95,147:96,147:97,147:98,147:99,147:100,147:105,147:106,148:89,148:90,148:91,148:92,148:93,148:94,148:95,148:96,148:97,148:98,148:99,148:100,148:101,148:102,148:103,148:104,148:105,148:106,149:89,149:90,149:91,149:92,149:93,149:94,149:95,149:96,149:97,149:98,149:99,149:100,149:101,149:102,149:103,149:104,149:105,149:106,150:89,150:90,150:91,150:92,150:93,150:94,150:95,150:96,150:97,150:98,150:99,150:100,150:101,150:102,150:103,150:104,150:105,151:89,151:90,151:91,151:92,151:93,151:94,151:95,151:96,151:97,151:98,151:99,151:100,151:101,151:102,151:103,151:104,151:105,151:106,152:90,152:91,152:92,152:93,152:94,152:95,152:96,152:97,152:98,152:99,152:100,152:101,152:104,152:105,152:106,153:96,153:97,153:98,153:99,153:100,153:101,153:104,153:105,153:106,154:96,154:97,154:98,154:99,154:100,154:101,154:102,154:103,154:104,154:105,154:106,155:97,155:98,155:99,155:100,155:101,155:102,155:103,155:104,155:105,155:106,156:98,156:99,156:100,156:101,156:102,156:103,156:104,156:105,156:106,157:98,157:99,157:100,157:101,157:102,157:103,157:104,157:105,157:106,158:98,158:99,158:100,158:101,158:102,158:103,158:104,158:105,158:106,159:99,159:100,159:101,159:102,159:103,159:104,159:105,159:106,160:99,160:100,160:101,160:102,160:103,160:104,160:105,160:106,161:100,161:101,161:102,161:103,161:104,161:105,161:106
