# OpenSilkroadMap derived server region->zone catalog
# source: SR_GameRefData/RefRegion.txt (sha256 a3749d9e43719208c0098c145022824ce17d3d86d21458f505ee8d187c1cd4c4)
# format: <region_id>\t<sector_x>\t<sector_y>\t<name>\t<flag>\t<zone_id>
# rows=2444 names=21 zones=13 flags={'1': 2363, '0': 81}
14660	68	57	FORT_HT_AREA	1	2001
14661	69	57	FORT_HT_AREA	1	2001
14662	70	57	FORT_HT_AREA	1	2001
14663	71	57	FORT_HT_AREA	1	2001
14664	72	57	FORT_HT_AREA	1	2001
14916	68	58	FORT_HT_AREA	1	2001
14917	69	58	FORT_HT_AREA	1	2001
14918	70	58	FORT_HT_AREA	1	2001
14919	71	58	FORT_HT_AREA	1	2001
14920	72	58	FORT_HT_AREA	1	2001
15172	68	59	FORT_HT_AREA	1	2001
15173	69	59	FORT_HT_AREA	1	2001
15174	70	59	FORT_HT_AREA	1	2001
15175	71	59	FORT_HT_AREA	1	2001
15176	72	59	FORT_HT_AREA	1	2001
15428	68	60	FORT_HT_AREA	1	2001
15429	69	60	FORT_HT_AREA	1	2001
15430	70	60	FORT_HT_AREA	1	2001
15431	71	60	FORT_HT_AREA	1	2001
15432	72	60	FORT_HT_AREA	1	2001
15684	68	61	FORT_HT_AREA	1	2001
15685	69	61	FORT_HT_AREA	1	2001
15686	70	61	FORT_HT_AREA	1	2001
15687	71	61	FORT_HT_AREA	1	2001
15688	72	61	FORT_HT_AREA	1	2001
15940	68	62	FORT_HT_AREA	1	2001
15941	69	62	FORT_HT_AREA	1	2001
15942	70	62	FORT_HT_AREA	1	2001
15943	71	62	FORT_HT_AREA	1	2001
15944	72	62	FORT_HT_AREA	1	2001
16196	68	63	FORT_HT_AREA	1	2001
16197	69	63	FORT_HT_AREA	1	2001
16198	70	63	FORT_HT_AREA	1	2001
16199	71	63	FORT_HT_AREA	1	2001
16200	72	63	FORT_HT_AREA	1	2001
16452	68	64	FORT_HT_AREA	1	2001
16453	69	64	FORT_HT_AREA	1	2001
16454	70	64	FORT_HT_AREA	1	2001
16455	71	64	FORT_HT_AREA	1	2001
16456	72	64	FORT_HT_AREA	1	2001
17221	69	67	FORT_JA_AREA	1	1001
17222	70	67	FORT_JA_AREA	1	1001
17223	71	67	FORT_JA_AREA	1	1001
17224	72	67	FORT_JA_AREA	1	1001
17225	73	67	FORT_JA_AREA	1	1001
17229	77	67	FORT_BJ_AREA	1	1001
