1	28	59
2	32	66
3	35	74
4	39	81
5	42	88
6	46	96
7	49	103
8	53	110
9	56	118
10	60	125
11	63	132
12	67	140
13	70	147
14	74	154
15	77	162
16	81	169
17	84	176
18	88	184
19	91	191
20	95	198
21	98	206
22	102	213
23	105	221
24	109	228
25	112	235
26	116	243
27	119	250
28	123	257
29	126	265
30	130	272
31	133	279
32	137	287
33	140	294
34	144	301
35	147	309
36	151	316
37	154	323
38	158	331
39	161	338
40	165	345
41	168	353
42	172	360
43	175	368
44	179	375
45	182	382
46	186	390
47	189	397
48	193	404
49	196	412
50	200	419
51	203	426
52	207	434
53	210	441
54	214	448
55	217	456
56	221	463
57	224	470
58	228	478
59	231	485
60	235	492
61	238	500
62	242	507
63	245	515
64	249	522
65	252	529
66	256	537
67	259	544
68	263	551
69	266	559
70	270	566
71	273	573
72	277	581
73	280	588
74	284	595
75	287	603
76	291	610
77	294	617
78	298	625
79	301	632
80	305	639
81	308	647
82	312	654
83	315	662
84	319	669
85	322	676
86	326	684
87	329	691
88	333	698
89	336	706
90	340	713
91	343	720
92	347	728
93	350	735
94	354	742
95	357	750
96	361	757
97	364	764
98	368	772
99	371	779
100	375	786
101	378	794
102	382	801
103	385	809
104	389	816
105	392	823
106	396	831
107	399	838
108	403	845
109	406	853
110	410	860
111	413	867
112	417	875
113	420	882
114	424	889
115	427	897
116	431	904
117	434	911
118	438	919
119	441	926
120	445	933
121	448	941
122	452	948
123	455	956
124	459	963
125	462	970
126	466	978
127	469	985
128	473	992
129	476	1000
130	480	1007
131	483	1014
132	487	1022
133	490	1029
134	494	1036
135	497	1044
136	501	1051
137	504	1058
138	508	1066
139	511	1073
140	515	1080
