6	QNO_CH_POTION_1	0	ITEM_ETC_HP_POTION_01	xxx	xxx	0	28	0	0	0	0	
10	QNO_CH_GENARAL_BO_1	0	ITEM_ETC_MP_POTION_01	xxx	xxx	0	50	0	0	0	0	
11	QNO_CH_GENARAL_SP_1	0	ITEM_ETC_ALL_POTION_01	xxx	xxx	0	50	0	0	0	0	
53	QNO_CH_POTION_3	0	ITEM_ETC_MP_POTION_01	xxx	xxx	0	50	0	0	0	0	
54	QNO_CH_EUROPE_1	0	ITEM_QNO_CH_EUROPE_1_02	xxx	xxx	0	1	0	0	0	0	
57	QNO_CH_GENARAL_1	0	ITEM_ETC_HP_POTION_02	xxx	xxx	0	50	0	0	0	0	
57	QNO_CH_GENARAL_1	0	ITEM_ETC_HP_POTION_02	xxx	xxx	0	13	0	0	0	0	
58	QNO_CH_SMITH_2	0	ITEM_QNO_CH_SMITH_2_01	xxx	xxx	0	1	0	0	0	0	
119	QNO_CH_GENARAL_3	0	ITEM_QNO_CH_GENARAL_1_01	xxx	xxx	0	1	0	0	0	0	
120	QNO_CH_SPECIAL_3	0	ITEM_QNO_CH_SPECIAL_2_02	xxx	xxx	0	1	0	0	0	0	
15	QNO_WC_SPECIAL_1	0	ITEM_ETC_ALL_POTION_03	xxx	xxx	0	10	0	0	0	0	
68	QNO_WC_FERRY2_1	0	ITEM_QNO_WC_FERRY2_1_01	xxx	xxx	0	1	0	0	0	0	
70	QNO_WC_DOCTOR_2	0	ITEM_QNO_WC_DOCTOR_2_02	xxx	xxx	0	1	0	0	0	0	
80	QNO_WC_SOLDIER_WE1_1	0	ITEM_ETC_MP_POTION_03	xxx	xxx	0	50	0	0	0	0	
80	QNO_WC_SOLDIER_WE1_1	0	ITEM_ETC_MP_POTION_03	xxx	xxx	0	50	0	0	0	0	
80	QNO_WC_SOLDIER_WE1_1	0	ITEM_ETC_MP_POTION_03	xxx	xxx	0	50	0	0	0	0	
80	QNO_WC_SOLDIER_WE1_1	0	ITEM_ETC_MP_POTION_03	xxx	xxx	0	50	0	0	0	0	
80	QNO_WC_SOLDIER_WE1_1	0	ITEM_ETC_MP_POTION_03	xxx	xxx	0	50	0	0	0	0	
81	QNO_WC_SOLDIER_WE2_1	0	ITEM_QNO_WC_SOLDIER_WE2_1_01	xxx	xxx	0	1	0	0	0	0	
88	QNO_WC_FERRY4_1	0	ITEM_QNO_WC_FERRY4_1_01	xxx	xxx	0	1	0	0	0	0	
25	QNO_KT_ARMOR_1	0	ITEM_ETC_ALL_SPOTION_01	xxx	xxx	0	50	0	0	0	0	
123	QNO_RM_VILLAGECHIEF_2	0	ITEM_QNO_RM_VILLAGECHIEF_2_01	xxx	xxx	0	1	0	0	0	0	
150	QNO_EU_CONS_1	0	ITEM_QNO_EU_CONS_1_01	xxx	xxx	0	1	0	0	0	0	
161	QNO_EU_CONS_12	0	ITEM_QNO_EU_CONS_12_02	xxx	xxx	0	1	0	0	0	0	
168	QNO_EU_EASTEU_6	0	ITEM_QNO_EU_EASTEU_6_02	xxx	xxx	0	1	0	0	0	0	
238	QNO_CA_POTION_1	0	ITEM_QNO_CA_POTION_1_01	xxx	xxx	0	1	0	0	0	0	
269	QNO_TQ_MAGICPOWDER_3	0	ITEM_QNO_TQ_MAGICPOWDER_3_02	xxx	xxx	0	10	0	0	0	0	
277	QNO_TQ_STONEBOARD_5	0	ITEM_QNO_TQ_STONEBOARD_5_02	xxx	xxx	0	1	0	0	0	0	
8	QNO_CH_PRIEST_1	0	ITEM_COS_C_HORSE1	xxx	xxx	0	1	0	0	0	0	
