1	1	QEVENT_GUIDE	0	EventGuide(????)	xxx	xxx	xxx	xxx	xxx	xxx	
1	2	QTUTORIAL_CH	0	?? ????	SN_QTUTORIAL_CH	SN_PAY_QTUTORIAL_CH	xxx	SN_PAYCON_QTUTORIAL_CH	SN_NN_QTUTORIAL_CH	SN_NC_QTUTORIAL_CH	
1	3	QNO_CH_SMITH_1	0	<??>????? ??	SN_QNO_CH_SMITH_1	SN_PAY_QNO_CH_SMITH_1	xxx	SN_PAYCON_QNO_CH_SMITH_1	SN_NN_QNO_CH_SMITH_1	SN_NC_QNO_CH_SMITH_1	
1	4	QNO_CH_CHEF_1	0	<??>??? ??	SN_QNO_CH_CHEF_1	SN_PAY_QNO_CH_CHEF_1	xxx	SN_PAYCON_QNO_CH_CHEF_1	SN_NN_QNO_CH_CHEF_1	SN_NC_QNO_CH_CHEF_1	
1	5	QNO_CH_SOLDIER_EA1_1	3	<??>???? ??	SN_QNO_CH_SOLDIER_EA1_1	SN_PAY_QNO_CH_SOLDIER_EA1_1	xxx	SN_PAYCON_QNO_CH_SOLDIER_EA1_1	SN_NN_QNO_CH_SOLDIER_EA1_1	SN_NC_QNO_CH_SOLDIER_EA1_1	
1	6	QNO_CH_POTION_1	5	<??>???? ??	SN_QNO_CH_POTION_1	SN_PAY_QNO_CH_POTION_1	xxx	SN_PAYCON_QNO_CH_POTION_1	SN_NN_QNO_CH_POTION_1	SN_NC_QNO_CH_POTION_1	
1	7	QNO_CH_SOLDIER_EA2_1	7	<??>??? ??	SN_QNO_CH_SOLDIER_EA2_1	SN_PAY_QNO_CH_SOLDIER_EA2_1	xxx	SN_PAYCON_QNO_CH_SOLDIER_EA2_1	SN_NN_QNO_CH_SOLDIER_EA2_1	SN_NC_QNO_CH_SOLDIER_EA2_1	
1	8	QNO_CH_PRIEST_1	7	<????>? ??? ??	SN_QNO_CH_PRIEST_1	SN_PAY_QNO_CH_PRIEST_1	xxx	SN_PAYCON_QNO_CH_PRIEST_1	SN_NN_QNO_CH_PRIEST_1	SN_NC_QNO_CH_PRIEST_1	
1	9	QNO_CH_SHAMAN_1	8	<??>??? ??	SN_QNO_CH_SHAMAN_1	SN_PAY_QNO_CH_SHAMAN_1	xxx	SN_PAYCON_QNO_CH_SHAMAN_1	SN_NN_QNO_CH_SHAMAN_1	SN_NC_QNO_CH_SHAMAN_1	
1	10	QNO_CH_GENARAL_BO_1	10	<??>???? ??	SN_QNO_CH_GENARAL_BO_1	SN_PAY_QNO_CH_GENARAL_BO_1	xxx	SN_PAYCON_QNO_CH_GENARAL_BO_1	SN_NN_QNO_CH_GENARAL_BO_1	SN_NC_QNO_CH_GENARAL_BO_1	
1	11	QNO_CH_GENARAL_SP_1	13	<??>?? ??	SN_QNO_CH_GENARAL_SP_1	SN_PAY_QNO_CH_GENARAL_SP_1	xxx	SN_PAYCON_QNO_CH_GENARAL_SP_1	SN_NN_QNO_CH_GENARAL_SP_1	SN_NC_QNO_CH_GENARAL_SP_1	
1	12	QNO_CH_HORSE_1	16	<??>?? ??	SN_QNO_CH_HORSE_1	SN_PAY_QNO_CH_HORSE_1	xxx	SN_PAYCON_QNO_CH_HORSE_1	SN_NN_QNO_CH_HORSE_1	SN_NC_QNO_CH_HORSE_1	
