2023	25257	659.74	0	981.13
2030	25257	692.16	-0.02	137.35
2034	25001	1387.17	-0.07	1765.02
2015	25001	183.8	-35.99	913.08
2016	25001	225.84	-35.98	911.37
2040	25001	509.22	-64.83	755.24
2031	25000	1009.54	0	1902.64
2032	25000	937.55	0	1902.71
2003	25000	332.73	0	1406.7
2004	25000	332.17	0	1085.23
2013	25000	980.8	-32.43	989.13
2014	25000	980.35	-32.52	989.19
2009	25000	329.21	0	450.6
2028	25000	1670.68	11	580.81
2029	25000	1670.79	11	260.54
2008	25000	1658.55	0	1078.19
2005	25000	1584.08	0	1407.29
2042	24999	1405.36	0.71	1192.83
2045	24999	1500.02	0	966.17
2044	24999	772.73	-2.12	1045.69
2043	24999	793.91	-3.45	1033.92
2036	24999	334.4	-1.28	1849.16
2022	25255	1491.36	40	1520.07
1933	25258	812.68	75.08	392.9
1933	25258	1610.9	60.94	503.83
1933	25002	1725.88	20.07	1273.01
1933	24746	696.1	56.98	1510.15
1933	24745	1897.92	39.46	721.31
1933	24745	995.83	21.69	680.79
1933	24744	1842.3	-29.38	600.94
1933	24744	1260.99	0.03	22.69
1933	24744	1089.65	-28.38	600.09
1933	24744	553.74	-30.53	471.07
1933	24743	1754.67	-30.53	674.61
1933	24488	1130.58	28.91	1566.93
1933	24487	1039.77	-16.42	1034.5
1933	24487	1339.04	-40.29	1661.79
1935	23717	1291.96	464.97	1912.53
1935	23976	6.19	163.39	1896.42
1935	24232	1677.53	83.69	1391.26
1934	24233	1805.95	76.52	1549.89
1935	24490	1555.02	16.01	125.68
1935	24490	33.37	0.41	1855.28
1935	24490	1919.72	60.52	1858.33
1933	25254	372.92	100.92	1698.35
1933	24998	738.37	161.54	1579.62
1933	24230	30.12	435.19	1520.71
1933	24485	861.25	362.92	677.08
1933	24485	927.08	193.35	1500.33
1933	24746	1813.52	38.58	1883.61
1933	24746	1881.96	155.53	247.34
1933	25254	285.53	110.72	477.62
1933	25254	759.07	30.29	1233.44
1933	24998	516.73	146.9	546.85
1933	24998	1262.01	42.57	199.82
1933	24742	0.13	189.94	1441.03
1933	24741	1295.2	182.55	731.12
1933	24742	937.89	119.82	1190.4
1934	24485	1689.47	158.54	1672.68
1933	24742	1694.5	114.94	943.28
1933	24742	868.4	151.27	166.02
1933	24485	1322.64	382.36	80.81
1933	24486	638.44	175.53	1453.45
1933	24486	350.56	356.51	570.7
1934	24230	699.14	339.95	1845.06
1933	24486	967.54	287.13	612.91
1933	24743	621.59	46.25	457.74
1933	24487	45.45	43.06	1415.36
1934	24230	1276.57	120.18	1591.32
1933	24488	252.75	-49.45	1539.01
1933	24487	1770.22	-36.56	875.67
1933	24487	411.14	11.27	342.95
1933	24230	789.19	312.42	423.65
1933	24231	123.49	102.59	891.66
1933	24231	890.01	54.89	1504.34
1933	24232	122.34	129.7	932.38
1934	24232	486.33	113.68	1903.17
