1	INS_DEFAULT	0	1	0	xxx	
2	INS_FORT_JA	0	1	300	GROUP_FORTRESS_JANGAN	
3	INS_FORT_DW	0	1	300	GROUP_FORTRESS_DONWHANG	
4	INS_FORT_HT	0	1	300	GROUP_FORTRESS_HOTAN	
5	INS_FORT_CT	0	1	300	GROUP_FORTRESS_CONSTANTINOPLE	
6	INS_FORT_SK	0	1	300	GROUP_FORTRESS_SAMARKAND	
7	INS_FORT_BJ	0	1	200	GROUP_FORTRESS_BIJEOKDAN	
8	INS_FORT_HM	0	1	200	GROUP_FORTRESS_HEUKMAKDAN	
9	INS_FORT_ER	0	1	200	GROUP_FORTRESS_EVILORDER	
10	INS_QNO_RM_OLDWOMAN_6	1	100	8	xxx	
11	INS_QNO_EU_EASTEU_21	1	100	8	xxx	
12	INS_QNO_EU_IVY_3	1	100	8	xxx	
13	INS_QNO_CA_GORIA_7	1	100	8	xxx	
14	INS_QINSHI_FLOOR_5	1	5	500	GROUP_QINSHI_FLOOR_5	
15	INS_QINSHI_FLOOR_6	1	5	500	GROUP_QINSHI_FLOOR_6	
16	INS_QNO_TQ_STONEBOARD_4	1	100	8	xxx	
17	INS_QNO_TQ_ORNAMENT_4	1	100	8	xxx	
18	INS_QNO_TQ_GENERALORDER_4	1	100	8	xxx	
19	INS_QNO_TQ_BAEKRYEONG_10	1	100	1	xxx	
20	INS_QNO_TQ_BAEKRYEONG_13	1	100	1	xxx	
21	INS_QNO_TQ_BAEKRYEONG_14	1	100	1	xxx	
22	INS_QNO_TQ_BAEKRYEONG_15	1	100	1	xxx	
23	INS_QNO_TQ_BAEKRYEONG_16_1	1	100	1	xxx	
24	INS_QNO_TQ_BAEKRYEONG_16_2	1	100	1	xxx	
25	INS_QNO_TQ_BAEKRYEONG_17_1	1	100	8	xxx	
26	INS_QNO_TQ_BAEKRYEONG_17_2	1	100	8	xxx	
27	INS_QNO_TQ_BAEKRYEONG_17_3	1	100	8	xxx	
28	INS_QNO_TQ_BAEKRYEONG_14_1	1	100	1	xxx	
29	INS_EVENT_RANDOMMATCH	1	400	16	xxx	
30	INS_QNO_CH_BATTLEZONE	1	100	1	xxx	
31	INS_QNO_EU_BATTLEZONE	1	100	1	xxx	
32	INS_QNO_CH_HWAN_1_5	1	100	1	xxx	
33	INS_QNO_EU_HWAN_1_5	1	100	1	xxx	
34	INS_QNO_CH_HWAN_2_5	1	100	1	xxx	
35	INS_QNO_EU_HWAN_2_5	1	100	1	xxx	
36	INS_QNO_CH_HWAN_1_1	1	100	1	xxx	
37	INS_QNO_CH_HWAN_2_1	1	100	1	xxx	
38	INS_QNO_EU_HWAN_1_1	1	100	1	xxx	
39	INS_QNO_EU_HWAN_2_1	1	100	1	xxx	
40	INS_ROC_TOP	1	5	150	xxx	
41	INS_ROC_FRONT	1	5	8	xxx	
42	INS_ARENA_OCCUPY_8	1	200	30	GROUP_ARENA_OCCUPY_8_GATE	
43	INS_ARENA_OCCUPY_16	1	200	50	GROUP_ARENA_OCCUPY_16_GATE	
44	INS_ARENA_OCCUPY_32	1	200	100	GROUP_ARENA_OCCUPY_32_GATE	
45	INS_ARENA_FLAG_8	1	200	30	GROUP_ARENA_FLAG_8_GATE	
46	INS_ARENA_FLAG_16	1	200	50	GROUP_ARENA_FLAG_16_GATE	
47	INS_ARENA_FLAG_32	1	200	100	GROUP_ARENA_FLAG_32_GATE	
48	INS_ARENA_SCORE_8	1	200	30	GROUP_ARENA_SCORE_8_GATE	
49	INS_ARENA_SCORE_16	1	200	50	GROUP_ARENA_SCORE_16_GATE	
50	INS_ARENA_SCORE_32	1	200	100	GROUP_ARENA_SCORE_32_GATE	
51	INS_TEMPLE_SELK	1	5	500	GROUP_TEMPLE_SELK	
52	INS_TEMPLE_NEIT	1	5	500	GROUP_TEMPLE_NEIT	
53	INS_TEMPLE_ANUB	1	5	500	GROUP_TEMPLE_ANUB	
54	INS_TEMPLE_ISIS	1	5	500	GROUP_TEMPLE_ISIS	
55	INS_TEMPLE_HARO	1	5	500	GROUP_TEMPLE_HARO	
56	INS_TEMPLE_SETH	1	5	32	GROUP_TEMPLE_SETH	
57	INS_PHARAOH_NOVICE	1	200	8	GROUP_PHARAOH_NOVICE	
58	INS_PHARAOH_EXPERT	1	200	8	GROUP_PHARAOH_EXPERT	
59	INS_PHARAOH_MASTER	1	200	8	GROUP_PHARAOH_MASTER	
60	INS_TEMPLE_DEFAULT	0	1	0	GROUP_TEMPLE_DEFAULT	
61	INS_SIEGE_DUNGEON	1	8	30	GROUP_SIEGE_DUNGEON	
62	INS_ARENA_GNGWC	1	100	100	GROUP_ARENA_GNGWC	
63	INS_GOD_TOGUI_35_50_LEVEL_1	1	50	4	GROUP_GOD_TOGUI_35_50_LEVEL_1	
64	INS_GOD_TOGUI_35_50_LEVEL_2	1	50	4	GROUP_GOD_TOGUI_35_50_LEVEL_2	
65	INS_GOD_TOGUI_51_60_LEVEL_1	1	50	4	GROUP_GOD_TOGUI_51_60_LEVEL_1	
66	INS_GOD_TOGUI_51_60_LEVEL_2	1	50	4	GROUP_GOD_TOGUI_51_60_LEVEL_2	
67	INS_GOD_TOGUI_61_70_LEVEL_1	1	50	4	GROUP_GOD_TOGUI_61_70_LEVEL_1	
68	INS_GOD_TOGUI_61_70_LEVEL_2	1	50	4	GROUP_GOD_TOGUI_61_70_LEVEL_2	
69	INS_GOD_FLAME_71_80_LEVEL_1	1	50	4	GROUP_GOD_FLAME_71_80_LEVEL_1	
70	INS_GOD_FLAME_71_80_LEVEL_2	1	50	4	GROUP_GOD_FLAME_71_80_LEVEL_2	
71	INS_GOD_FLAME_71_80_LEVEL_3	1	50	8	GROUP_GOD_FLAME_71_80_LEVEL_3	
