ITEM_CH_SWORD_01_A	71	item\china\weapon\sword_01.bsr	item\china\weapon\sword_01.ddj
ITEM_CH_SWORD_02_A	74	item\china\weapon\sword_02.bsr	item\china\weapon\sword_02.ddj
ITEM_CH_SWORD_03_A	77	item\china\weapon\sword_03.bsr	item\china\weapon\sword_03.ddj
ITEM_CH_BLADE_01_A	107	item\china\weapon\blade_01.bsr	item\china\weapon\blade_01.ddj
ITEM_CH_BLADE_02_A	110	item\china\weapon\blade_02.bsr	item\china\weapon\blade_02.ddj
ITEM_CH_BLADE_03_A	113	item\china\weapon\blade_03.bsr	item\china\weapon\blade_03.ddj
ITEM_CH_SPEAR_01_A	143	item\china\weapon\spear_01.bsr	item\china\weapon\spear_01.ddj
ITEM_CH_SPEAR_02_A	146	item\china\weapon\spear_02.bsr	item\china\weapon\spear_02.ddj
ITEM_CH_SPEAR_03_A	149	item\china\weapon\spear_03.bsr	item\china\weapon\spear_03.ddj
ITEM_CH_TBLADE_01_A	179	item\china\weapon\tblade_01.bsr	item\china\weapon\tblade_01.ddj
ITEM_CH_TBLADE_02_A	182	item\china\weapon\tblade_02.bsr	item\china\weapon\tblade_02.ddj
ITEM_CH_TBLADE_03_A	185	item\china\weapon\tblade_03.bsr	item\china\weapon\tblade_03.ddj
ITEM_CH_BOW_01_A	215	item\china\weapon\bow_01.bsr	item\china\weapon\bow_01.ddj
ITEM_CH_BOW_02_A	218	item\china\weapon\bow_02.bsr	item\china\weapon\bow_02.ddj
ITEM_CH_BOW_03_A	221	item\china\weapon\bow_03.bsr	item\china\weapon\bow_03.ddj
ITEM_CH_SHIELD_01_A	251	item\china\shield\shield_01.bsr	item\china\shield\shield_01.ddj
ITEM_CH_SHIELD_02_A	254	item\china\shield\shield_02.bsr	item\china\shield\shield_02.ddj
ITEM_CH_SHIELD_03_A	257	item\china\shield\shield_03.bsr	item\china\shield\shield_03.ddj
ITEM_ETC_AMMO_ARROW_01	62	xxx	item\etc\ammo_arrow_01.ddj
ITEM_CH_M_HEAVY_01_CA_A	323	xxx	item\china\man_item\heavy_01_ca.ddj
ITEM_CH_M_HEAVY_02_CA_A	326	xxx	item\china\man_item\heavy_02_ca.ddj
ITEM_CH_M_HEAVY_03_CA_A	329	xxx	item\china\man_item\heavy_03_ca.ddj
ITEM_CH_M_HEAVY_01_SA_A	359	item\china\man_item\heavy_01_sa.bsr	item\china\man_item\heavy_01_sa.ddj
ITEM_CH_M_HEAVY_02_SA_A	362	item\china\man_item\heavy_02_sa.bsr	item\china\man_item\heavy_02_sa.ddj
ITEM_CH_M_HEAVY_03_SA_A	365	item\china\man_item\heavy_03_sa.bsr	item\china\man_item\heavy_03_sa.ddj
ITEM_CH_M_HEAVY_01_BA_A	395	item\china\man_item\heavy_01_ba.bsr	item\china\man_item\heavy_01_ba.ddj
ITEM_CH_M_HEAVY_02_BA_A	398	item\china\man_item\heavy_02_ba.bsr	item\china\man_item\heavy_02_ba.ddj
ITEM_CH_M_HEAVY_03_BA_A	401	item\china\man_item\heavy_03_ba.bsr	item\china\man_item\heavy_03_ba.ddj
ITEM_CH_M_HEAVY_01_LA_A	431	item\china\man_item\heavy_01_la.bsr	item\china\man_item\heavy_01_la.ddj
ITEM_CH_M_HEAVY_02_LA_A	434	item\china\man_item\heavy_02_la.bsr	item\china\man_item\heavy_02_la.ddj
ITEM_CH_M_HEAVY_03_LA_A	437	item\china\man_item\heavy_03_la.bsr	item\china\man_item\heavy_03_la.ddj
ITEM_CH_M_HEAVY_01_AA_A	467	item\china\man_item\heavy_01_aa.bsr	item\china\man_item\heavy_01_aa.ddj
ITEM_CH_M_HEAVY_02_AA_A	470	item\china\man_item\heavy_02_aa.bsr	item\china\man_item\heavy_02_aa.ddj
ITEM_CH_M_HEAVY_03_AA_A	473	item\china\man_item\heavy_03_aa.bsr	item\china\man_item\heavy_03_aa.ddj
ITEM_CH_M_HEAVY_01_FA_A	503	item\china\man_item\heavy_01_fa.bsr	item\china\man_item\heavy_01_fa.ddj
ITEM_CH_M_HEAVY_02_FA_A	506	item\china\man_item\heavy_02_fa.bsr	item\china\man_item\heavy_02_fa.ddj
ITEM_CH_M_HEAVY_03_FA_A	509	item\china\man_item\heavy_03_fa.bsr	item\china\man_item\heavy_03_fa.ddj
ITEM_CH_M_LIGHT_01_CA_A	575	xxx	item\china\man_item\light_01_ca.ddj
ITEM_CH_M_LIGHT_02_CA_A	578	xxx	item\china\man_item\light_02_ca.ddj
ITEM_CH_M_LIGHT_03_CA_A	581	xxx	item\china\man_item\light_03_ca.ddj
ITEM_CH_M_LIGHT_01_SA_A	611	item\china\man_item\light_01_sa.bsr	item\china\man_item\light_01_sa.ddj
ITEM_CH_M_LIGHT_02_SA_A	614	item\china\man_item\light_02_sa.bsr	item\china\man_item\light_02_sa.ddj
ITEM_CH_M_LIGHT_03_SA_A	617	item\china\man_item\light_03_sa.bsr	item\china\man_item\light_03_sa.ddj
ITEM_CH_M_LIGHT_01_BA_A	647	item\china\man_item\light_01_ba.bsr	item\china\man_item\light_01_ba.ddj
ITEM_CH_M_LIGHT_02_BA_A	650	item\china\man_item\light_02_ba.bsr	item\china\man_item\light_02_ba.ddj
ITEM_CH_M_LIGHT_03_BA_A	653	item\china\man_item\light_03_ba.bsr	item\china\man_item\light_03_ba.ddj
ITEM_CH_M_LIGHT_01_LA_A	683	item\china\man_item\light_01_la.bsr	item\china\man_item\light_01_la.ddj
ITEM_CH_M_LIGHT_02_LA_A	686	item\china\man_item\light_02_la.bsr	item\china\man_item\light_02_la.ddj
ITEM_CH_M_LIGHT_03_LA_A	689	item\china\man_item\light_03_la.bsr	item\china\man_item\light_03_la.ddj
ITEM_CH_M_LIGHT_01_AA_A	719	item\china\man_item\light_01_aa.bsr	item\china\man_item\light_01_aa.ddj
ITEM_CH_M_LIGHT_02_AA_A	722	item\china\man_item\light_02_aa.bsr	item\china\man_item\light_02_aa.ddj
ITEM_CH_M_LIGHT_03_AA_A	725	item\china\man_item\light_03_aa.bsr	item\china\man_item\light_03_aa.ddj
ITEM_CH_M_LIGHT_01_FA_A	755	item\china\man_item\light_01_fa.bsr	item\china\man_item\light_01_fa.ddj
ITEM_CH_M_LIGHT_02_FA_A	758	item\china\man_item\light_02_fa.bsr	item\china\man_item\light_02_fa.ddj
ITEM_CH_M_LIGHT_03_FA_A	761	item\china\man_item\light_03_fa.bsr	item\china\man_item\light_03_fa.ddj
ITEM_CH_M_CLOTHES_01_CA_A	827	xxx	item\china\man_item\clothes_01_ca.ddj
ITEM_CH_M_CLOTHES_02_CA_A	830	xxx	item\china\man_item\clothes_02_ca.ddj
ITEM_CH_M_CLOTHES_03_CA_A	833	xxx	item\china\man_item\clothes_03_ca.ddj
ITEM_CH_M_CLOTHES_01_SA_A	863	item\china\man_item\clothes_01_sa.bsr	item\china\man_item\clothes_01_sa.ddj
ITEM_CH_M_CLOTHES_02_SA_A	866	item\china\man_item\clothes_02_sa.bsr	item\china\man_item\clothes_02_sa.ddj
ITEM_CH_M_CLOTHES_03_SA_A	869	item\china\man_item\clothes_03_sa.bsr	item\china\man_item\clothes_03_sa.ddj
ITEM_CH_M_CLOTHES_01_BA_A	899	item\china\man_item\clothes_01_ba.bsr	item\china\man_item\clothes_01_ba.ddj
ITEM_CH_M_CLOTHES_02_BA_A	902	item\china\man_item\clothes_02_ba.bsr	item\china\man_item\clothes_02_ba.ddj
ITEM_CH_M_CLOTHES_03_BA_A	905	item\china\man_item\clothes_03_ba.bsr	item\china\man_item\clothes_03_ba.ddj
ITEM_CH_M_CLOTHES_01_LA_A	935	item\china\man_item\clothes_01_la.bsr	item\china\man_item\clothes_01_la.ddj
ITEM_CH_M_CLOTHES_02_LA_A	938	item\china\man_item\clothes_02_la.bsr	item\china\man_item\clothes_02_la.ddj
ITEM_CH_M_CLOTHES_03_LA_A	941	item\china\man_item\clothes_03_la.bsr	item\china\man_item\clothes_03_la.ddj
ITEM_CH_M_CLOTHES_01_AA_A	971	item\china\man_item\clothes_01_aa.bsr	item\china\man_item\clothes_01_aa.ddj
ITEM_CH_M_CLOTHES_02_AA_A	974	item\china\man_item\clothes_02_aa.bsr	item\china\man_item\clothes_02_aa.ddj
ITEM_CH_M_CLOTHES_03_AA_A	977	item\china\man_item\clothes_03_aa.bsr	item\china\man_item\clothes_03_aa.ddj
ITEM_CH_M_CLOTHES_01_FA_A	1007	item\china\man_item\clothes_01_fa.bsr	item\china\man_item\clothes_01_fa.ddj
ITEM_CH_M_CLOTHES_02_FA_A	1010	item\china\man_item\clothes_02_fa.bsr	item\china\man_item\clothes_02_fa.ddj
ITEM_CH_M_CLOTHES_03_FA_A	1013	item\china\man_item\clothes_03_fa.bsr	item\china\man_item\clothes_03_fa.ddj
ITEM_CH_W_HEAVY_01_CA_A	1079	xxx	item\china\woman_item\heavy_01_ca.ddj
ITEM_CH_W_HEAVY_02_CA_A	1082	xxx	item\china\woman_item\heavy_02_ca.ddj
ITEM_CH_W_HEAVY_03_CA_A	1085	xxx	item\china\woman_item\heavy_03_ca.ddj
ITEM_CH_W_HEAVY_01_SA_A	1115	item\china\woman_item\heavy_01_sa.bsr	item\china\woman_item\heavy_01_sa.ddj
ITEM_CH_W_HEAVY_02_SA_A	1118	item\china\woman_item\heavy_02_sa.bsr	item\china\woman_item\heavy_02_sa.ddj
ITEM_CH_W_HEAVY_03_SA_A	1121	item\china\woman_item\heavy_03_sa.bsr	item\china\woman_item\heavy_03_sa.ddj
ITEM_CH_W_HEAVY_01_BA_A	1151	item\china\woman_item\heavy_01_ba.bsr	item\china\woman_item\heavy_01_ba.ddj
ITEM_CH_W_HEAVY_02_BA_A	1154	item\china\woman_item\heavy_02_ba.bsr	item\china\woman_item\heavy_02_ba.ddj
ITEM_CH_W_HEAVY_03_BA_A	1157	item\china\woman_item\heavy_03_ba.bsr	item\china\woman_item\heavy_03_ba.ddj
ITEM_CH_W_HEAVY_01_LA_A	1187	item\china\woman_item\heavy_01_la.bsr	item\china\woman_item\heavy_01_la.ddj
ITEM_CH_W_HEAVY_02_LA_A	1190	item\china\woman_item\heavy_02_la.bsr	item\china\woman_item\heavy_02_la.ddj
ITEM_CH_W_HEAVY_03_LA_A	1193	item\china\woman_item\heavy_03_la.bsr	item\china\woman_item\heavy_03_la.ddj
ITEM_CH_W_HEAVY_01_AA_A	1223	item\china\woman_item\heavy_01_aa.bsr	item\china\woman_item\heavy_01_aa.ddj
ITEM_CH_W_HEAVY_02_AA_A	1226	item\china\woman_item\heavy_02_aa.bsr	item\china\woman_item\heavy_02_aa.ddj
ITEM_CH_W_HEAVY_03_AA_A	1229	item\china\woman_item\heavy_03_aa.bsr	item\china\woman_item\heavy_03_aa.ddj
ITEM_CH_W_HEAVY_01_FA_A	1259	item\china\woman_item\heavy_01_fa.bsr	item\china\woman_item\heavy_01_fa.ddj
ITEM_CH_W_HEAVY_02_FA_A	1262	item\china\woman_item\heavy_02_fa.bsr	item\china\woman_item\heavy_02_fa.ddj
