file	bytes	sha256	status
abusefilter.txt	247842	998b29be74a1458e93d9e1248d2d784effcfa5ac81445a11b7a47b42fae090ff	CATALOGED
actionwnddata.txt	3712	76377bd306cd9bcd937b0aa9e22b1fb9a76f936b0b1ccb6c2445e40b90348332	CATALOGED
atstructeffect.txt	146576	1469fc2e0aff0ea92a5a27db1f8bce4db1e5a2914b8e3ae3d800b060c9f4b747	CATALOGED
characterdata.txt	450	d705e9f2ab6315f64fe4dcf0fcf13899996ceabe12b3559dca61afdbec50737e	NORMALIZED
characterdata_10000.txt	1584256	9ff83aed6ecb5d863c6e88ce06780a11b55b5383b57b2f4b17463ec6a15da9db	CATALOGED
characterdata_15000.txt	369236	39ea0f1387426747ffba5048009ddeecf60fd4452afe21986705daa91a28ec31	CATALOGED
characterdata_20000.txt	3535474	e600f84a6ceeb2691875e3f71be4e05a396752931e7469202367005283125483	CATALOGED
characterdata_25000.txt	2848096	aad3b3e96c995312de48bcbe4abb997c43eeaa6f338a5d5f9c25f5bb442f363e	CATALOGED
characterdata_30000.txt	125832	25dc7544f39c356a41c10c919c13eb8154811f9b546930808991b35488b06226	CATALOGED
characterdata_35000.txt	2130	595296cf4361e9a48e8e3cd32ac06122d73d0a29769b2c332fb4332070b74ed1	CATALOGED
characterdata_40000.txt	383618	99e42eddc164a16d27ad53e9c0084d3ba03a4b7bea84067b4a1749a284b856fb	CATALOGED
characterdata_45000.txt	2135760	3e3cb253ab634f6ee7c5ff87842e5f546553812c8f178f59a24c6a934e6f77ac	CATALOGED
characterdata_5000.txt	1111462	6b2f6caa01f5bdd1bb54018027f3ea5b7410101d4511b75768c5d78ac45dda90	CATALOGED
charactervisualchange.txt	117432	636e144d34def59b9f44e8b792e6a5fc59cc46382f22aad524d3dae2f8d200c7	CATALOGED
collectionbook_item.txt	11132	ca872ae2235d67d65aefd915d421e05b660d8592f636de726e33f5961ffe0833	CATALOGED
collectionbook_theme.txt	956	33a17dab15bd58345230c4ca3f02c313e2e8dc04e3c03a6bed01fd09a3112723	CATALOGED
dg.txt	3362	baafc70f709466b0a23afb9fa3cb4698708643b1b8530f3228c3648a10575f3e	CATALOGED
effectenvsnd.txt	27283	e17022572ca34e3e1c6b80e9b79191251f65ddc79facef70674b851cc3fa3181	CATALOGED
effectsound.txt	591755	a2349a0153591c99ea84e9d6c4726664d84825350f4b8e0262794566bdc856e2	CATALOGED
erasablemastery.txt	142	80db788ab14392efd2854f82d042b8ae56f7d66d4176d2b567f9f386975a9022	CATALOGED
erasableskill.txt	3896	7a15450469bd8ea0aaf91e8d6d829b8b65b6a8c92a982d19ceb2fcf79fef901e	CATALOGED
eventdata.txt	2	b3d510ef04275ca8e698e5b3cbb0ece3949ef9252f0cdc839e9ee347409a2209	CATALOGED
eventguidedata.txt	4002	7fc8f47974de9f427b4669f4872fc406298f9fde080f012a88d8031354bcb243	CATALOGED
eventword.txt	2	b3d510ef04275ca8e698e5b3cbb0ece3949ef9252f0cdc839e9ee347409a2209	CATALOGED
eventzonedata.txt	99810	6977f768cd4541ac0ff4c8519a175f8060ff4b65de7f125d73936e98188e5c41	CATALOGED
fmncategorytreedata.txt	9646	bb47c408863e64702be5afb3e53ea130346293b4f9e2307288f4634ca25a1fa0	CATALOGED
fmntidgroupmapdata.txt	4584	c148c611bb3c88e85b84de125bc5f2a85f622f3c34167efb47dcf3bcf5854d7c	CATALOGED
force_addobject.txt	14422	7ab3edb4d5fe9618dc742d7c192891efff40685818d814e82d0cd45fcda4c688	CATALOGED
gachaitemset.txt	520074	f8adf532540840729bd1953b1d63ac28a582ec4e7a0b4971dd7075476f3069ae	CATALOGED
gachanpcmap.txt	26	3b1a7401d6f480cb42171fa90f8560196cd12fe4d2998338db266d7cfb06e344	CATALOGED
gameguidedata.txt	212744	a54e149c487f8424ae21b23e7579f27646f82499bc2c3d39cb653756cb114571	CATALOGED
gameworldconfigdata.txt	149776	4df4a83d23a08b813d99bdf7db1340f8f50ae5bcd5e255d4ea04fd37ff70c8d6	NORMALIZED
gameworlddata.txt	11970	65878ed84d61d968da9d88d4cfc4470c69079123d857008e3d17c79fc924f88a	NORMALIZED
groupworld_config_forclient.txt	466	f50393d8dc09f6e3d524830f2de224375d5a591d747964a450e6c48fec5a3c85	CATALOGED
hwanleveldata.txt	37212	424cec6be7912383b3e73af8ae5007ee88e6306beca8ef905d1c0b44f6ba3e6c	CATALOGED
item_grouping.txt	35492	672265d723ac4ae177d70053f26c294c091d7e245a9eee5a49779e447b651cdb	CATALOGED
itemdata.txt	360	6ba7ad4723c4b3da56d92bb77caacf9f5c5a7fd6c95e4ea8d4b9e0c018ceef10	NORMALIZED
itemdata_10000.txt	3180500	d9ee7a786fb2be9571f457c260e3fb0c0b78f04d2f0cb65caa1703871ca3dd09	CATALOGED
itemdata_15000.txt	6017534	8a24b0b2165f6eb1ca36eda3cf128bfff7f7eee146236e715fc4b98e8f0a0d74	CATALOGED
itemdata_20000.txt	91442	ec4808b8712ea8783fdb3dcdf4e5f6ba556051ae580c3f20ecfa369e1c3fc31b	CATALOGED
itemdata_25000.txt	1223000	355a1011186467be4c464d5dd5a78f0f2a15184abecb2b6f9ca52d20605b0456	CATALOGED
itemdata_30000.txt	1222514	90dea5af1210c78979980e8dc345f51c1d82f8b3b1718bc0dfca19a5ae6405db	CATALOGED
itemdata_35000.txt	135628	b120ae93e1cf223c9ff7457fb3935ee89d2f560b60ca49d3226772d28471934b	CATALOGED
itemdata_40000.txt	3389544	d411c07c31aa7faf23578ca509243161b2cd202889eb1766fdc870ef1e4a6e9b	CATALOGED
itemdata_45000.txt	3239102	7dbf90c21f241e7907ad2a14f3e05f19b945307b056b0c1de95db7e3274d047f	CATALOGED
itemdata_5000.txt	4218870	8890b49e215de76d1f5b32fdee89ea0cf2178e96abf83910b73eada14a4fd17f	CATALOGED
