file	bytes	encoding	records	cols	rows_exact	rows_other	max_cols	status	sha256
abusefilter.txt	247842	utf-16-le	1506	36	1505	0	36	CATALOGED	998b29be74a1458e93d9e1248d2d784effcfa5ac81445a11b7a47b42fae090ff
actionwnddata.txt	3712	utf-16-le	26	7	25	0	7	CATALOGED	76377bd306cd9bcd937b0aa9e22b1fb9a76f936b0b1ccb6c2445e40b90348332
atstructeffect.txt	146576	utf-16-le	1153	9	0	1152	10	CATALOGED	1469fc2e0aff0ea92a5a27db1f8bce4db1e5a2914b8e3ae3d800b060c9f4b747
characterdata.txt	450	utf-16-le	9	1	8	0	1	NORMALIZED	d705e9f2ab6315f64fe4dcf0fcf13899996ceabe12b3559dca61afdbec50737e
characterdata_10000.txt	1584256	utf-16-le	2282	105	2280	1	105	CATALOGED	9ff83aed6ecb5d863c6e88ce06780a11b55b5383b57b2f4b17463ec6a15da9db
characterdata_15000.txt	369236	utf-16-le	494	105	492	1	105	CATALOGED	39ea0f1387426747ffba5048009ddeecf60fd4452afe21986705daa91a28ec31
characterdata_20000.txt	3535474	utf-16-le	4856	105	4854	1	105	CATALOGED	e600f84a6ceeb2691875e3f71be4e05a396752931e7469202367005283125483
characterdata_25000.txt	2848096	utf-16-le	3736	105	3734	1	105	CATALOGED	aad3b3e96c995312de48bcbe4abb997c43eeaa6f338a5d5f9c25f5bb442f363e
characterdata_30000.txt	125832	utf-16-le	178	105	176	1	105	CATALOGED	25dc7544f39c356a41c10c919c13eb8154811f9b546930808991b35488b06226
characterdata_35000.txt	2130	utf-16-le	4	105	2	1	105	CATALOGED	595296cf4361e9a48e8e3cd32ac06122d73d0a29769b2c332fb4332070b74ed1
characterdata_40000.txt	383618	utf-16-le	520	105	518	1	105	CATALOGED	99e42eddc164a16d27ad53e9c0084d3ba03a4b7bea84067b4a1749a284b856fb
characterdata_45000.txt	2135760	utf-16-le	2572	105	2570	1	105	CATALOGED	3e3cb253ab634f6ee7c5ff87842e5f546553812c8f178f59a24c6a934e6f77ac
characterdata_5000.txt	1111462	utf-16-le	1700	105	1698	1	105	CATALOGED	6b2f6caa01f5bdd1bb54018027f3ea5b7410101d4511b75768c5d78ac45dda90
charactervisualchange.txt	117432	utf-16-le	371	21	370	0	21	CATALOGED	636e144d34def59b9f44e8b792e6a5fc59cc46382f22aad524d3dae2f8d200c7
collectionbook_item.txt	11132	utf-16-le	32	8	31	0	8	CATALOGED	ca872ae2235d67d65aefd915d421e05b660d8592f636de726e33f5961ffe0833
collectionbook_theme.txt	956	utf-16-le	4	7	3	0	7	CATALOGED	33a17dab15bd58345230c4ca3f02c313e2e8dc04e3c03a6bed01fd09a3112723
dg.txt	3362	utf-16-le	140	3	139	0	3	CATALOGED	baafc70f709466b0a23afb9fa3cb4698708643b1b8530f3228c3648a10575f3e
effectenvsnd.txt	27283	cp949	919	6	911	7	6	CATALOGED	e17022572ca34e3e1c6b80e9b79191251f65ddc79facef70674b851cc3fa3181
